issn_scielo	year	scopus_id	citescore	sjr	sjr_best_quartile	cites_by_doc_2years	h_index	snip	ipp
1852-4834	2012	17900156732	0.07	0.171	Q3	0.28	13	0.1265664160401	0.0740740740740741
1852-4834	2013	17900156732	0.07	0.139	Q3	0.25	13	0.1265664160401	0.0740740740740741
1852-4834	2014	17900156732	0.07	0.183	Q3	0.41	13	0.1265664160401	0.0740740740740741
1852-4834	2015	17900156732	0.07	0.202	Q3	0.27	13	0.1265664160401	0.0740740740740741
1852-4834	2016	17900156732	0.07	0.188	Q3	0.22	13	0.1265664160401	0.0740740740740741
1668-298X	2007	19400157227		0.102	Q4	0	5	0	0
1668-298X	2008	19400157227		0.101	Q4	0.08	5	0.132413793103448	0.04
1668-298X	2009	19400157227		0.123	Q4	0.22	5	0.228139898191218	0.138888888888889
1668-298X	2010	19400157227		0.121	Q4	0.1	5	0.0110338112415165	0.0625
1668-298X	2011	19400157227	0.14	0.131	Q4	0.04	5	0.377804018514622	0.142857142857143
1668-298X	2012	19400157227	0.08	0.124	Q4	0.1	5	0.207142857142857	0.1
1668-298X	2013	19400157227	0.12	0.13	Q4	0.18	5	0.315202827357421	0.116279069767442
1668-298X	2014	19400157227	0.11	0.11	Q4	0.09	5	0.0816412071654261	0.131578947368421
1668-298X	2015	19400157227	0.12	0.115	Q4	0.19	5	0.14574541568619	0.181818181818182
1668-298X	2016	19400157227	0.32	0.153	Q4	0.46	5	0.262097113267877	0.294117647058824
1850-2067	1999	73135		0.141	Q4	0.11	14	0.20343137254902	0.0416666666666667
1850-2067	2000	73135		0.296	Q3	0.24	14	0.426946107784431	0.166666666666667
1850-2067	2001	73135		0.191	Q4	0.15	14	0	0
1850-2067	2002	73135		0.231	Q3	0.21	14	0.0637218045112782	0.0526315789473684
1850-2067	2003	73135		0.184	Q4	0.17	14	0.319209608158884	0.148148148148148
1850-2067	2004	73135		0.139	Q4	0.07	14	0.168439716312057	0.0638297872340425
1850-2067	2005	73135		0.16	Q4	0.16	14	0.389676910953507	0.191489361702128
1850-2067	2006	73135		0.149	Q4	0.17	14	0.159608885279846	0.12962962962963
1850-2067	2007	73135		0.137	Q4	0.09	14	0.186135105170831	0.0961538461538462
1850-2067	2008	73135		0.209	Q3	0.16	14	0.330614460914904	0.2
1850-2067	2009	73135		0.151	Q4	0.14	14	0.24428166286861	0.185185185185185
